disease,symptom,values
Hyperkeratosis morphologic abnormality,Subungual hyperkeratosis,1
Periorbital erythema,Erythema of skin,1
Periorbital erythema,Erythematous condition,1
Respiratory tract congestion,Congestion of nasal sinus,1
Refractory epilepsy,Seizure,1
Pseudocyst of ear,Mass of ear structure,1
Purple glove syndrome,Cyanosis of skin,1
Effusion of joint,Joint swelling,1
Effusion of joint,Joint effusion of other specified site,1
Effusion of joint,Painful swelling of joint,1
Diffuse pyelonephritis,Diffuse inflammation,1
Exfoliative erythema,Erythema of skin,1
Exfoliative erythema,Erythematous condition,1
Anterior ethmoidal nerve syndrome,Neuropathic pain,1
Anterior ethmoidal nerve syndrome,Pain finding,1
Disorder of eye region,Periorbital edema,1
Disorder of eye region,Spasm of conjugate gaze,1
Disorder of eye region,Irregular nystagmus,1
Disorder of eye region,Gaze paretic nystagmus,1
Disorder of eye region,Postural nystagmus,1
Disorder of eye region,Spontaneous nystagmus,1
Disorder of eye region,Body positional nystagmus,1
Disorder of eye region,Nystagmus produced by neck rotation,1
Disorder of eye region,Nystagmus enhanced when fixation removed,1
Disorder of eye region,Nystagmus signs,1
Disorder of eye region,Elliptical nystagmus,1
Functional amblyopia,Visual disturbances NOS or amblyopia or blurred vision,1
Visual perceptual weakness,Subjective visual disturbance,1
Visual perceptual weakness,Visual alteration,1
Scotopic sensitivity,Visual alteration,1
Chondrodermatitis nodularis disorder,Mass of ear structure,1
Physiological cutis marmorata,Pale complexion,1
Neonatal cutis marmorata,Pale complexion,1
Normocomplementemic urticarial vasculitis,Urticarial vasculitis disorder,1
Diabetic wet gangrene of the foot,DWidespread diabetic foot gangrene,1
Viral wart on lip,Mass of oral cavity,1
Erythema nodosum due to streptococcal infection,Erythema of skin,1
Erythema nodosum due to streptococcal infection,Erythematous condition,1
Erythema nodosum due to Yersinia enterocolitica,Erythema of skin,1
Erythema nodosum due to Yersinia enterocolitica,Erythematous condition,1
Erythema multiforme due to mycoplasma infection,Erythema of skin,1
Erythema multiforme due to mycoplasma infection,Erythematous condition,1
Familial actinic prurigo,Erythema of skin,1
Familial actinic prurigo,Erythematous condition,1
Familial actinic prurigo of lip,Erythema of skin,1
Familial actinic prurigo of lip,Erythematous condition,1
Papular form erythema multiforme,Erythema of skin,1
Papular form erythema multiforme,Erythematous condition,1
Vesicobullous form erythema multiforme,Erythema of skin,1
Vesicobullous form erythema multiforme,Erythematous condition,1
Erythema multiforme due to malignancy,Erythema of skin,1
Erythema multiforme due to malignancy,Erythematous condition,1
Clubbing of nails associated with systemic disorder,Clubbing morphologic abnormality,1
Clubbing of nails associated with systemic disorder,Clubbing of nail disorder,1
Acquired koilonychia,Koilonychia,1
Postmenopausal flushing,Face goes red,1
Stellate pseudoscar in senile purpura,Stellate pseudoscar,1
Penile sclerosing lipogranuloma,Perineal lump finding,1
Penile sclerosing lipogranuloma,Mass of male genital structure,1
Lupus erythematosusassociated urticarial vasculitis,Urticarial vasculitis disorder,1
Postmenopausal pruritus,Pruritus of skin,1
Postmenopausal pruritus,Itching of skin,1
Postmenopausal pruritus,Itch of skin,1
Postmenopausal pruritus,Other specified pruritic conditions disorder,1
Pruritus due to systemic disorder,Pruritus of skin,1
Pruritus due to systemic disorder,Itching of skin,1
Pruritus due to systemic disorder,Itch of skin,1
Serum sickness due to drug,Immune complex urticaria,1
Druginduced StevensJohnson syndrome,Erythema of skin,1
Druginduced StevensJohnson syndrome,Erythematous condition,1
Druginduced erythema,Erythema of skin,1
Druginduced erythema,Erythematous condition,1
Druginduced flushing,Face goes red,1
Erythroderma due to vancomycin,Erythema of skin,1
Erythroderma due to vancomycin,Erythematous condition,1
Nonmelanin pigmentation due to drug,Drug pigmentation,1
Acral erythema due to cytotoxic therapy,Erythema of skin,1
Acral erythema due to cytotoxic therapy,Erythematous condition,1
Stellate pseudoscars due to corticosteroids,Stellate pseudoscar,1
Druginduced mucositis,Rhinitis due to alphaadrenergic blocking agent,1
PUVAinduced pruritus,Pruritus of skin,1
PUVAinduced pruritus,Itching of skin,1
PUVAinduced pruritus,Itch of skin,1
Eosinophiliamyalgia syndrome from tryptophan,Pain finding,1
Erythroderma of unknown etiology,Erythema of skin,1
Erythroderma of unknown etiology,Erythematous condition,1
Lymphedema of lower extremity,Edema of lower extremity,1
Lymphedema of penis,Edema of penis,1
Hemodialysisassociated pruritus,Pruritus of skin,1
Hemodialysisassociated pruritus,Itching of skin,1
Hemodialysisassociated pruritus,Itch of skin,1
Scaling eczema,Erythema of skin,1
Scaling eczema,Erythematous condition,1
Senile asteatotic eczema,Pruritus of skin,1
Senile asteatotic eczema,Itching of skin,1
Senile asteatotic eczema,Itch of skin,1
Splenic hamartoma,Mass of lymphoreticular structure,1
Porphyriainduced scleroderma,Thickening of skin,1
Pangastritis,Diffuse inflammation,1
Exacerbation of backache,Dorsalgia,1
Crusting of pigmented skin lesion,Changes in skin texture,1
Post infarct angina,Angina,1
Post infarct angina,Ischemic chest pain,1
Post infarct angina,Pain finding,1
Post infarct angina,Other forms of angina pectoris,1
Exanthematous disorder,Erythema of skin,1
Exanthematous disorder,Erythematous condition,1
Endometriosis of uterosacral ligament,Pain finding,1
Contact lens related giant papillary conjunctivitis,Contact lens related disorder,1
Diffuse episcleritis,Diffuse inflammation,1
Divergence insufficiency,Anomaly of divergence,1
Mild dietary indigestion,Indigestion finding,1
Neurologic unpleasant taste,Bad taste in mouth,1
Neurologic unpleasant taste,Unpleasant taste in mouth,1
Female Kallmans syndrome,Loss of sense of smell,1
Degenerative disorder,Schistosomal pigment deposition,1
Inflammation of specific body systems,Tuberculous chancre,1
Hereditary disorder of the visual system,Visual alteration,1
Neonatal cardiovascular disorder,Neonatal cyanosis,1
Disorder of finger,Paroxysmal hematoma of the finger,1
Urticaria perstans,Urticaria persistans,1
Infectious disease of mucous membrane,Purulent nasal discharge,1
Infectious disease of mucous membrane,Purulent rhinitis,1
Melanocytic nevus of ear,Mass of ear structure,1
Chronic disease of musculoskeletal system,Intermittent torticollis,1
Musculoskeletal disorder of the neck,Wry necktorticollis,1
Musculoskeletal disorder of the neck,Spasmodic torticollis disorder,1
Disorder of cervical spine disorder,Wry necktorticollis,1
Disorder of cervical spine disorder,Intermittent torticollis,1
Acute disease of cardiovascular system,Paroxysmal hypertension,1
Chronic digestive system disorder,Intermittent vomiting,1
Disorder of upper gastrointestinal tract,Nausea and vomiting disorder,1
Disorder of upper gastrointestinal tract,Uncontrollable vomiting,1
Disorder of upper gastrointestinal tract,Intermittent vomiting,1
Disorder of upper gastrointestinal tract,Vomiting after gastrointestinal tract surgery,1
Disorder of upper gastrointestinal tract,Postoperative nausea,1
Disorder of palate,Palatal myoclonus,1
Disorder of uvula of palate,Edema of uvula,1
Diarrheal disorder,Diarrhea symptom,1
Diarrheal disorder,Loose stool,1
Diarrheal disorder,"Nausea, vomiting and diarrhea",1
Diarrheal disorder,Diarrhea after gastrointestinal tract surgery,1
Acute nervous system disorder,Paroxysmal dystonia,1
Neurologic disorder of eye movements,Ophthalmoplegia disorder,1
Neurologic disorder of eye movements,Smooth pursuit movement deficiency,1
Neurologic disorder of eye movements,Deficiency of smooth pursuit movements,1
Disorder characterized by edema,Periorbital edema,1
Disorder characterized by edema,Edema of oral soft tissues,1
Disorder characterized by edema,Gestational edema without hypertension,1
Disorder characterized by edema,Edema of newborn,1
Disorder characterized by edema,Edema of spinal cord,1
Disorder characterized by edema,Edema of oral vestibule,1
Disorder of face,Periorbital edema,1
Disorder of face,Neonatal facial petechiae,1
Disorder of face,Traumatic neonatal facial cyanosis,1
Disorder of abdomen,Acute abdomen,1
Disorder of abdomen,Intraabdominal collection,1
Disorder of abdomen,Pain during inflow of dialysate,1
Disorder of abdomen,Pain during outflow of dialysate,1
Disorder of abdomen,Disorder of umbilicus,1
Disorder of abdominal wall,Scaphoid abdomen,1
Disorder of abdominal wall,Ilioinguinal nerve neuralgia,1
Disorder of abdominal wall,Genitofemoral nerve neuralgia,1
Disorder of pelvis,Ilioinguinal nerve neuralgia,1
Disorder of pelvis,Genitofemoral nerve neuralgia,1
Disorder of lower extremity,Paraparesis disorder,1
Disorder of lower extremity,Cruralgia,1
Disorder of lower extremity,Ilioinguinal nerve neuralgia,1
Disorder of extremity,Flaccid tetraplegia,1
Disorder of thigh,Lateral femoral cutaneous neuralgia,1
Disorder of thigh,Obturator neuralgia,1
Disorder of thigh,Genitofemoral nerve neuralgia,1
Disorder of lower leg disorder,Saber shin,1
Chronic nervous system disorder,Chronic progressive paraparesis,1
Inflammatory disorder,Sporotrichotic chancre,1
Chronic pain syndrome,Generalized aches and pains finding,1
Seizures complicating infection in the newborn,Seizure,1
Progressive Angina disorder,Angina,1
Progressive Angina disorder,Ischemic chest pain,1
Progressive Angina disorder,Pain finding,1
Recurrent angina after percutaneous transluminal coronary angioplasty,Angina,1
Recurrent angina after percutaneous transluminal coronary angioplasty,Ischemic chest pain,1
Recurrent angina after percutaneous transluminal coronary angioplasty,Pain finding,1
Recurrent angina after coronary stent placement,Angina,1
Recurrent angina after coronary stent placement,Ischemic chest pain,1
Recurrent angina after coronary stent placement,Pain finding,1
Recurrent angina after coronary artery bypass graft,Angina,1
Recurrent angina after coronary artery bypass graft,Ischemic chest pain,1
Recurrent angina after coronary artery bypass graft,Pain finding,1
Recurrent angina post rotational atherectomy,Angina,1
Recurrent angina post rotational atherectomy,Ischemic chest pain,1
Recurrent angina post rotational atherectomy,Pain finding,1
Recurrent angina post rotational atherectomy,Other forms of angina pectoris,1
Recurrent angina after directional coronary atherectomy,Angina,1
Recurrent angina after directional coronary atherectomy,Ischemic chest pain,1
Recurrent angina after directional coronary atherectomy,Pain finding,1
Recurrent angina after directional coronary atherectomy,Other forms of angina pectoris,1
Seizures due to metabolic disorder,Seizure,1
Transient respiratory distress with sepsis,Respiratory distress finding,1
Exudative diathesis,Subepidermal edema,1
Disorder characterized by pain,Angina,1
Disorder characterized by pain,Ischemic chest pain,1
Disorder characterized by pain,Glossodynia disorder,1
Disorder characterized by pain,Neuropathic pain,1
Disorder characterized by pain,Pain finding,1
Disorder characterized by pain,Injection site pain,1
Disorder characterized by pain,Cheilodynia disorder,1
Disorder characterized by pain,"Pain due to any device, implant ANDOR graft",1
Disorder characterized by pain,Generalized aches and pains finding,1
Disorder characterized by pain,Painful legs and moving toes,1
Disorder characterized by pain,Pain during inflow of dialysate,1
Disorder characterized by pain,Pain during outflow of dialysate,1
Disorder characterized by pain,Pain from breast implant,1
Disorder characterized by pain,Pain from tissue expander,1
Disorder characterized by pain,Rubella arthralgia,1
Disorder characterized by pain,Painful arms and moving fingers,1
Disorder characterized by pain,Painful hematuria,1
Disorder characterized by pain,Polymyalgia,1
Disorder characterized by pain,Painful blind eye,1
Disorder characterized by pain,Pain at rest due to peripheral vascular disease,1
Extraovarian endometriosis,Pain finding,1
Disorder of neonatal umbilicus,Disorder of umbilicus,1
Headache following myelography,Headache finding,1
Postmyelography headache,Headache finding,1
Headache following myelography,Headache following lumbar puncture,1
Postmyelography headache,Headache following lumbar puncture,1
Headache following myelography,Reaction to spinal or lumbar puncture disorder,1
Postmyelography headache,Reaction to spinal or lumbar puncture disorder,1
Headache following myelography,Post dural puncture headache,1
Postmyelography headache,Post dural puncture headache,1
Disorder characterized by back pain,Dorsalgia,1
Disorder characterized by back pain,Pain finding,1
Disorder characterized by back pain,Backache NOS or back pain & low,1
Condyloma acuminata of vagina,Mass of female genital structure,1
Disorder of body cavity,Edema of oral vestibule,1
Disorder of perianal skin,Pruritus ani,1
Disorder of skin of head,Scalp itchy,1
Disorder of skin of head,Neonatal facial petechiae,1
Disorder of skin of head,Traumatic neonatal facial cyanosis,1
Disorder of skin of trunk,Pruritus of penis,1
Disorder of skin of trunk,Burning scrotum,1
Disorder of skin of trunk,Scrotal pruritus,1
Disorder of skin of upper limb,Paroxysmal hematoma of the finger,1
Brachioradial pruritus,Pruritus of skin,1
Brachioradial pruritus,Itching of skin,1
Brachioradial pruritus,Itch of skin,1
Angry back syndrome,Low back pain,1
"Urticarial vasculitis with monoclonal IgM component, Schnitzler",Urticarial vasculitis disorder,1
Diffuse inflammatory erythema,Erythema of skin,1
Diffuse inflammatory erythema,Erythematous condition,1
Abnormality of nail shape,Koilonychia,1
Necrotizing cutaneous vasculitis,Urticarial vasculitis disorder,1
Serum sickness type vasculitis,Immune complex urticaria,1
Acute edema  cutaneous distension syndrome,Acute edema,1
Acute edema blisters,Acute edema,1
Lymphedema of lip,Edema of oral soft tissues,1
Penile venereal edema,Edema of penis,1
Generalized pruritus of unknown etiology,Pruritus of skin,1
Generalized pruritus of unknown etiology,Itching of skin,1
Generalized pruritus of unknown etiology,Itch of skin,1
Urine induced contact dermatitis,Erythema of skin,1
Urine induced contact dermatitis,Erythematous condition,1
Diarrhea due to staphylococcus,Diarrhea symptom,1
Diarrhea due to staphylococcus,Loose stool,1
Nocturnal sleeprelated eating disorder,Sleep automatism,1
Eczema craquelé due to acute edema,Acute edema,1
Simple partial seizure with focal motor signs with march,Seizure,1
Postpartum fever,Pattern of fever  finding,1
Constipation due to neurogenic bowel,Constipation disorder,1
Paroxysmal hemicrania,Headache finding,1
Stressinduced epilepsy,Seizure,1
"Equilibration disorder, vestibular nerve",Problem with balance,1
"Equilibration disorder, vestibular nerve",Impairment of balance,1
"Complex regional pain syndrome, type II, lower limb",Pain finding,1
"Complex regional pain syndrome, type II, upper limb",Pain finding,1
Breast engorgement in newborn,Engorgement of breasts,1
Claudication,Pain in lower limb finding,1
Corneal iron deposits,Stahlis line,1
Gait apraxia,Other and unspecified symbolic dysfunctions,1
Gait apraxia,DOther symbolic dysfunction,1
Nerve root disorder,Painful legs and moving toes,1
Nerve root disorder,Segmental peripheral neuralgia,1
Nerve root disorder,Painful arms and moving fingers,1
Algodystrophy disorder,Pain finding,1
Perinatal jaundice NOS,Newborn physiological jaundice disorder,1
Primary acquired melanosis of conjunctiva without atypia,Mass of eye structure,1
Primary acquired melanosis of conjunctiva without atypia,Swelling of structure of eye,1
Disorder of skeletal muscle,Blepharospasm disorder,1
Disorder of skeletal muscle,Increased muscle tone,1
Disorder of skeletal muscle,Muscular hypertonicity,1
Disorder of skeletal muscle,Polymyalgia,1
Plasma protein metabolism disorder: & hyperproteinaemia or hypoproteinaemia or Waldenstroms macroglobulinaemia,Hypoproteinemia disorder,1
Plasma protein metabolism disorder: & hyperproteinemia or hypoproteinemia or Waldenstroms macroglobulinemia,Hypoproteinemia disorder,1
Dysmenorrhoea & non psychogenic or congestive or spasmodic,Spasmodic dysmenorrhea,1
Dysmenorrhea & non psychogenic or congestive or spasmodic,Spasmodic dysmenorrhea,1
DHypersomnia with sleep apnea or sleep apnea syndrome,Hypersomnia with sleep apnea,1
DHypersomnia with sleep apnoea or sleep apnoea syndrome,Hypersomnia with sleep apnea,1
Neuralgianeuritis  NOS or nerve root pain NEC,Neuropathic pain,1
Disturbance of consciousness or faintsyncopevasovagal symptom,Syncope symptom,1
Disturbance of consciousness or faintsyncopevasovagal symptom,Syncope and collapse,1
Disturbance of consciousness or faintsyncopevasovagal symptom,Disturbance of consciousness,1
Disturbance of consciousness or faintsyncopevasovagal symptom,Vasovagal symptom,1
Acute mucopurulent conjunctivitis or sticky eye,Discharge of eye,1
Chronic pharyngitisnasopharyngitis or catarrh or congested nose,Nasal congestion,1
Chronic pharyngitisnasopharyngitis or catarrh or congested nose,Catarrhal nasal discharge,1
Simple chronic bronchitis or smokers cough or senile tracheobronchitis,Smokers cough,1
Tendinitis: ankletarsus or achilles or ankle or calcaneal spur or metatarsalgia,Metatarsalgia finding,1
Temporomandibular joint: ankylosis or stiff,Temporomandibular joint stiff,1
Morning sickness & mild hyperemesis gravidarum,Morning sickness,1
Tongue disease NOS or coated tongue or geographic tongue or glossodynia,Glossodynia disorder,1
Tongue disease NOS or coated tongue or geographic tongue or glossodynia,Glossopyrosis disorder,1
Coccygeal disorder NOS or coccydynia,Pain in the coccyx,1
Central pain syndrome,Pain finding,1
Central pain syndrome,Pseudothalamic pain,1
Urticaria NOS or hives or pachydermia,Weal,1
Genital varices in pregnancy & vaginal or vulval,Vulval varices in pregnancy,1
Intolerance NEC: fat or food or milk or malabsorption NOS: syndrome or other gastrointestinal tract,Food intolerance,1
Retinal vascular occlusion or amaurosis fugax or retinal thrombosis,Amaurosis fugax,1
Warts: genital or penile or venereal or condylomata acuminatum,Penile warts,1
Sleep disorders & insomnia or nightmares or sleepwalking & somnambulism,Insomnia disorder,1
Dysmenorrhea & spasmodic,Spasmodic dysmenorrhea,1
Dysmenorrhoea & spasmodic,Spasmodic dysmenorrhea,1
Myoclonus: other or paramyoclonus multiplex,Myoclonic disorder,1
Physiological jaundice & NOS,Newborn physiological jaundice disorder,1
Transient ischaemic attacks or vertebrobasilar insufficiency or drop attacks,Drop attack,1
Transient ischemic attacks or vertebrobasilar insufficiency or drop attacks,Drop attack,1
Idiopathic hypersomnia without long sleep time,Hypersomnia disorder,1
High altitude periodic breathing,Respiration intermittent,1
Organic sleep disorder,Disturbance in sleep behavior,1
Skin and subcutaneous tissue disease NOS or sore skin,Sore skin finding,1
Mouth: mucocele or discomfort or soft tissue diseases NOS,Discomfort in mouth,1
Trigeminal autonomic cephalalgia,Headache finding,1
Virilism or adrenogenital virilization or pseudohermaphrodite female with adrenocortical disorder,Virilization finding,1
Virilism or adrenogenital virilisation or pseudohermaphrodite female with adrenocortical disorder,Virilization finding,1
Sialectasia or stenosis of salivary duct or other salivary gland diseases,Sialectasia,1
Extrapyramidal disease NOS or blepharospasm or choreoathetosis or writers cramp  organic or myoclonic jerks or spasmodic torticollis,Blepharospasm disorder,1
Extrapyramidal disease NOS or blepharospasm or choreoathetosis or writers cramp  organic or myoclonic jerks or spasmodic torticollis,Myoclonic disorder,1
Extrapyramidal disease NOS or blepharospasm or choreoathetosis or writers cramp  organic or myoclonic jerks or spasmodic torticollis,Spasmodic torticollis disorder,1
Lid lag or xanthelasma or eyelid disorders NOS,Lid lag,1
Spinocerebellar disease or cerebellar ataxia or cerebellar disease,Cerebellar ataxia,1
Nasal: obstruction or congestion & sinus or infection or sore nostril or cavity and sinus disease NOS,Congestion of nasal sinus,1
Erythematous conditions NOS or granulome annulare,Erythema of skin,1
Other erythematous conditions NOS or granuloma annulare,Erythema of skin,1
Erythematous conditions NOS or granulome annulare,Erythematous condition,1
Other erythematous conditions NOS or granuloma annulare,Erythematous condition,1
Acute conjunctivitis or Newcastles disease or viral pharyngoconjunctivitis or pink eye or sticky eye,Red eye,1
Acute conjunctivitis or Newcastles disease or viral pharyngoconjunctivitis or pink eye or sticky eye,Discharge of eye,1
Skin disorders NOS or foreign body granuloma or pimple or wheal,Weal,1
Chronic intestinal vascular insufficiency or abdominal angina or chronic ischaemic colitis &or enteritis,Abdominal angina,1
Chronic intestinal vascular insufficiency or abdominal angina or chronic ischemic colitis &or enteritis,Abdominal angina,1
Chronic intestinal vascular insufficiency or abdominal angina or chronic ischaemic colitis &or enteritis,Intestinal angina,1
Chronic intestinal vascular insufficiency or abdominal angina or chronic ischemic colitis &or enteritis,Intestinal angina,1
Other specified urticaria or nettle rash,Weal,1
Drop attack or transient cerebral ischaemia or vertebrobasilar insufficiency,Drop attack,1
Drop attack or transient cerebral ischemia or vertebrobasilar insufficiency,Drop attack,1
"Neuralgia, neuritis or radiculitis NOS or policemans disease",Neuropathic pain,1
Cheirooral syndrome,Skin sensation disturbance,1
Temporal crescent syndrome,Other specified visual disturbance NOS,1
Temporal crescent syndrome,Other specified visual disturbance,1
Propensity to adverse reactions to food,Food intolerance,1
Corneal argyriasis,Corneal pigmentations and deposits,1
Tcell pseudolymphomatous lesion,Persistent light reaction,1
Respiratory tract congestion and cough,CO  cough,1
Cerebellar ataxia associated with another disorder,Cerebellar ataxia,1
Druginduced corneal epithlelial deposit,Corneal pigmentations and deposits,1
Dysphotopsia,Visual alteration,1
Disorder of teeth ANDOR supporting structures,Toothache finding,1
Disorder of teeth ANDOR supporting structures,Painful tooth socket,1
Disorder of skin pigmentation,Drug pigmentation,1
Disorder of skin pigmentation,Achromia of skin disorder,1
Disorder of skin pigmentation,Malarial pigment deposition,1
Episodic ataxia type 1 disorder,Coordination problem,1
Hypersensitivity disorder,Injection site hypersensitivity,1
Subjective visual disturbance of image size,Subjective visual disturbance,1
Subjective visual disturbance of image size,Visual distortions of shape ANDOR size,1
Subjective visual disturbance of image size,Micropsia disorder,1
Micropsia due to organic disease,Visual distortions of shape ANDOR size,1
Micropsia due to organic disease,Micropsia disorder,1
Neuralgia associated with AIDS,Neuropathic pain,1
Neuralgia associated with AIDS,Pain finding,1
Episodic ataxia,Cerebellar ataxia,1
Episodic ataxia,Coordination problem,1
Episodic ataxia type 2,Coordination problem,1
Melanin pigmentation of eye,Melanin pigmentation of cornea,1
Migraine with typical aura,Headache finding,1
Refractory migraine with aura,Headache finding,1
"Migraine without aura, not refractory",Headache finding,1
Reflex blepharospasm,Blepharospasm disorder,1
Refractory occipital lobe epilepsy,Seizure,1
"Epilepsy, not refractory",Seizure,1
Refractory infantile spasms,Seizure,1
Refractory infantile spasms,Spasm finding,1
Refractory migraine without aura,Headache finding,1
Refractory migraine,Headache finding,1
Refractory frontal lobe epilepsy,Seizure,1
Refractory localizationrelated epilepsy,Seizure,1
"Migraine variants, not intractable",Headache finding,1
Refractory parietal lobe epilepsy,Seizure,1
Refractory migraine variants,Headache finding,1
Refractory epilepsia partialis continua,Seizure,1
Myoclonic dystonia disorder,Myoclonic disorder,1
Numb chin syndrome,Skin sensation disturbance,1
Irritable bowel syndrome characterized by constipation,Constipation disorder,1
Tendinitis of flexor hallucis longus,Cramp in foot,1
Hypersomnia disorder related to menstruation,Hypersomnia disorder,1
Chronic hypercapnic respiratory failure,Hypercapnia disorder,1
Maxillary cyst,Mass of musculoskeletal structure,1
Headache due to high altitude,Headache finding,1
Brainerd diarrhea,Diarrhea symptom,1
Brainerd diarrhea,Loose stool,1
Urethral wart,Mass of urinary system structure,1
Nonepileptic myoclonus,Myoclonic disorder,1
Intractable ophthalmic migraine,Headache finding,1
Vertigo as late effect of stroke,Subjective vertigo,1
Transformed migraine,Headache finding,1
Stapedial myoclonus,Myoclonic disorder,1
Loss of appetite,Anorexia symptom finding,1
Loss of appetite,Appetite loss  anorexia,1
Vomiting in pregnancy & excess or hyperemesis gravidarum or morning sickness,Hyperemesis gravidarum,1
Vomiting in pregnancy & excess or hyperemesis gravidarum or morning sickness,Morning sickness,1
Diarrhea due to drug,Diarrhea symptom,1
Diarrhea due to drug,Loose stool,1
Pudendal neuralgia,Pain finding,1
Arthropathy of knee joint disorder,Pain due to knee joint prosthesis,1
Chronic hypercapnia,Hypercapnia disorder,1
Complex cyst of uterine adnexa,Mass of uterine adnexa,1
Myoclonus of tensor tympani muscle,Myoclonic disorder,1
Soft tissue disorders NOS or polyalgia,Polyalgia,1
Other specified dental disorder &or toothache,Toothache finding,1
Vascular insufficiency of intestine disorder,Abdominal angina,1
Vascular insufficiency of intestine disorder,Intestinal angina,1
Vaginospasm finding,Spasm finding,1
"Jacksonian, focal or motor epilepsy",Seizure,1
Cyst of finger,Lump on finger,1
Acute nasopharyngitis or common cold or acute coryza or acute rhinitis or sniffles or snuffles,Snuffles,1
Acute nasopharyngitis or common cold or acute coryza or acute rhinitis or sniffles or snuffles,Nasal discharge,1
Acute nasopharyngitis or common cold or acute coryza or acute rhinitis or sniffles or snuffles,Nasal discharge present,1
Hysterical micropsia,Visual distortions of shape ANDOR size,1
Hysterical micropsia,Micropsia disorder,1
Neonatal hypotonia,Decreased muscle tone,1
Neonatal hypotonia,Poor muscle tone,1
Neonatal hypotonia,Benign congenital hypotonia disorder,1
Constipation due to spasm of colon,Constipation disorder,1
Acute renal failure with oliguria,Oliguria finding,1
Disorder of glenohumeral joint,Pain due to shoulder joint prosthesis,1
Chronic headache disorder,Headache finding,1
Atonic constipation,Constipation disorder,1
Organic amnesia of language,Loss of memory,1
Organic amnesia of language,Memory loss symptom,1
Hemicrania continua,Headache finding,1
Benign Rolandic epilepsy,Seizure,1
Other specific myoneural disorder & amyotonia congenita or Oppenheims amyotonia or congenital benign hypotonia or floppy infant syndrome,Benign congenital hypotonia disorder,1
Myxedematous form of cretinism,Hard edema,1
Inflammation of skin due to parasite disorder,Trypanosomal chancre,1
Tension hydrothorax,Fluid disturbance,1
Epilepsy characterized by intractable complex partial seizures,Seizure,1
Refractory generalized nonconvulsive epilepsy,Seizure,1
Myoclonus associated with fever,Myoclonic disorder,1
Disorder of cornea associated with contact lens,Contact lens related disorder,1
Remitting seronegative symmetrical synovitis with pitting edema,Pitting edema,1
Bleeding Meckels diverticulum,Umbilical hemorrhage,1
Bleeding Meckels diverticulum,Umbilical bleeding,1
Accumulation of bile in abdominal cavity,Intraabdominal collection,1
Cholesterin granuloma of middle ear and mastoid,Mass of ear structure,1
Cholesterin granuloma of middle ear and mastoid,Mass of musculoskeletal structure,1
Uremia due to inadequate renal perfusion,DExtrarenal uraemia,1
Uremia due to inadequate renal perfusion,DExtrarenal uremia,1
Cyst of nasal sinus disorder,Mass of respiratory structure,1
Hypertensive lower esophageal sphincter disorder,Hypertensive spasm of cardiac sphincter,1
Epidermoid cyst of skin of thigh,Lump on thigh,1
Epidermoid cyst of skin of ear,Mass of ear structure,1
Verruca vulgaris of skin of lower extremity,Mass of lower limb,1
Foreign body granuloma of penis,Perineal lump finding,1
Foreign body granuloma of penis,Mass of male genital structure,1
Epidermoid cyst of skin of back,Mass of trunk,1
Epidermoid cyst of skin of groin,Groin mass,1
Epidermoid cyst of skin of cheek,Mass of digestive structure,1
Verruca vulgaris of skin of pinna,Mass of ear structure,1
Verruca vulgaris of skin of cheek,Mass of digestive structure,1
Cyst of pinna,Mass of ear structure,1
Cholesterin granuloma of mastoid,Mass of musculoskeletal structure,1
Prurigo mitis,Pruritus of skin,1
Prurigo mitis,Itching of skin,1
Prurigo mitis,Itch of skin,1
Hebras prurigo,Pruritus of skin,1
Hebras prurigo,Itching of skin,1
Hebras prurigo,Itch of skin,1
Chronic progressive epilepsia partialis continua of childhood,Seizure,1
Mass associated with atrioventricular valve leaflet in atrioventricular septal defect,Mass of cardiovascular structure,1
Congenital mass of mitral leaflet,Mass of cardiovascular structure,1
Hydroa estivale,Erythema of skin,1
Hydroa estivale,Erythematous condition,1
Infection  suppurative,Purulent nasal discharge,1
Infection  suppurative,Purulent rhinitis,1
Primary acquired melanosis disorder,Mass of eye structure,1
Primary acquired melanosis disorder,Swelling of structure of eye,1
Hematoma of perianal region,Perianal lump,1
Functional abdominal pain syndrome,Abdominal pain,1
Functional abdominal pain syndrome,Pain finding,1
