disease,symptom
Acute disease of cardiovascular system,Paroxysmal hypertension
Chronic digestive system disorder,Intermittent vomiting
Disorder of upper gastrointestinal tract,Nausea and vomiting (disorder)
Disorder of upper gastrointestinal tract,Uncontrollable vomiting
Disorder of upper gastrointestinal tract,Intermittent vomiting
Disorder of upper gastrointestinal tract,Vomiting after gastrointestinal tract surgery
Disorder of upper gastrointestinal tract,Postoperative nausea
Disorder of palate,Palatal myoclonus
Disorder of uvula of palate,Edema of uvula
Diarrheal disorder,Diarrhea symptom
Diarrheal disorder,Loose stool
Diarrheal disorder,"Nausea, vomiting and diarrhea"
Diarrheal disorder,Diarrhea after gastrointestinal tract surgery
Acute nervous system disorder,Paroxysmal dystonia
Neurologic disorder of eye movements,Ophthalmoplegia (disorder)
Neurologic disorder of eye movements,Smooth pursuit movement deficiency
Neurologic disorder of eye movements,Deficiency of smooth pursuit movements
Disorder characterized by edema,Periorbital edema
Disorder characterized by edema,Edema of oral soft tissues
Disorder characterized by edema,Gestational edema without hypertension
Disorder characterized by edema,Edema of newborn
Disorder characterized by edema,Edema of spinal cord
Disorder characterized by edema,Edema of oral vestibule
Disorder of face,Periorbital edema
Disorder of face,Neonatal facial petechiae
Disorder of face,Traumatic neonatal facial cyanosis
Disorder of abdomen,Acute abdomen
Disorder of abdomen,Intra-abdominal collection
Disorder of abdomen,Pain during inflow of dialysate
Disorder of abdomen,Pain during outflow of dialysate
Disorder of abdomen,Disorder of umbilicus
Disorder of abdominal wall,Scaphoid abdomen
Disorder of abdominal wall,Ilioinguinal nerve neuralgia
Disorder of abdominal wall,Genitofemoral nerve neuralgia
Disorder of pelvis,Ilioinguinal nerve neuralgia
Disorder of pelvis,Genitofemoral nerve neuralgia
Disorder of lower extremity,Paraparesis (disorder)
Disorder of lower extremity,Cruralgia
Disorder of lower extremity,Ilioinguinal nerve neuralgia
Disorder of extremity,Flaccid tetraplegia
Disorder of thigh,Lateral femoral cutaneous neuralgia
Disorder of thigh,Obturator neuralgia
Disorder of thigh,Genitofemoral nerve neuralgia
Disorder of lower leg (disorder),Saber shin
Chronic nervous system disorder,Chronic progressive paraparesis
Inflammatory disorder,Sporotrichotic chancre
Chronic pain syndrome,Generalized aches and pains (finding)
Seizures complicating infection in the newborn,Seizure
Progressive Angina (disorder),Angina
Progressive Angina (disorder),Ischemic chest pain
Progressive Angina (disorder),Pain (finding)
Recurrent angina after percutaneous transluminal coronary angioplasty,Angina
Recurrent angina after percutaneous transluminal coronary angioplasty,Ischemic chest pain
Recurrent angina after percutaneous transluminal coronary angioplasty,Pain (finding)
Recurrent angina after coronary stent placement,Angina
Recurrent angina after coronary stent placement,Ischemic chest pain
Recurrent angina after coronary stent placement,Pain (finding)
Recurrent angina after coronary artery bypass graft,Angina
Recurrent angina after coronary artery bypass graft,Ischemic chest pain
Recurrent angina after coronary artery bypass graft,Pain (finding)
Recurrent angina post rotational atherectomy,Angina
Recurrent angina post rotational atherectomy,Ischemic chest pain
Recurrent angina post rotational atherectomy,Pain (finding)
Recurrent angina post rotational atherectomy,[X]Other forms of angina pectoris
Recurrent angina after directional coronary atherectomy,Angina
Recurrent angina after directional coronary atherectomy,Ischemic chest pain
Recurrent angina after directional coronary atherectomy,Pain (finding)
Recurrent angina after directional coronary atherectomy,[X]Other forms of angina pectoris
Seizures due to metabolic disorder,Seizure
Transient respiratory distress with sepsis,Respiratory distress (finding)
Exudative diathesis,Subepidermal edema
Disorder characterized by pain,Angina
Disorder characterized by pain,Ischemic chest pain
Disorder characterized by pain,Glossodynia (disorder)
Disorder characterized by pain,Neuropathic pain
Disorder characterized by pain,Pain (finding)
Disorder characterized by pain,Injection site pain
Disorder characterized by pain,Cheilodynia (disorder)
Disorder characterized by pain,"Pain due to any device, implant AND/OR graft"
Disorder characterized by pain,Generalized aches and pains (finding)
Disorder characterized by pain,Painful legs and moving toes
Disorder characterized by pain,Pain during inflow of dialysate
Disorder characterized by pain,Pain during outflow of dialysate
Disorder characterized by pain,Pain from breast implant
Disorder characterized by pain,Pain from tissue expander
Disorder characterized by pain,Rubella arthralgia
Disorder characterized by pain,Painful arms and moving fingers
Disorder characterized by pain,Painful hematuria
Disorder characterized by pain,Polymyalgia
Disorder characterized by pain,Painful blind eye
Disorder characterized by pain,Pain at rest due to peripheral vascular disease
Extraovarian endometriosis,Pain (finding)
Disorder of neonatal umbilicus,Disorder of umbilicus
Headache following myelography,Headache (finding)
Postmyelography headache,Headache (finding)
Headache following myelography,Headache following lumbar puncture
Postmyelography headache,Headache following lumbar puncture
Headache following myelography,Reaction to spinal or lumbar puncture (disorder)
Postmyelography headache,Reaction to spinal or lumbar puncture (disorder)
Headache following myelography,Post dural puncture headache
Postmyelography headache,Post dural puncture headache
Disorder characterized by back pain,Dorsalgia
Disorder characterized by back pain,Pain (finding)
Disorder characterized by back pain,(Backache NOS) or (back pain [& low])
Condyloma acuminata of vagina,Mass of female genital structure
Disorder of body cavity,Edema of oral vestibule
Disorder of perianal skin,Pruritus ani
Disorder of skin of head,Scalp itchy
Disorder of skin of head,Neonatal facial petechiae
Disorder of skin of head,Traumatic neonatal facial cyanosis
Disorder of skin of trunk,Pruritus of penis
Disorder of skin of trunk,Burning scrotum
Disorder of skin of trunk,Scrotal pruritus
Disorder of skin of upper limb,Paroxysmal hematoma of the finger
Brachioradial pruritus,Pruritus of skin
Brachioradial pruritus,Itching of skin
Brachioradial pruritus,Itch of skin
Angry back syndrome,Low back pain
"Urticarial vasculitis with monoclonal IgM component, Schnitzler",Urticarial vasculitis (disorder)
Diffuse inflammatory erythema,Erythema of skin
Diffuse inflammatory erythema,Erythematous condition
Abnormality of nail shape,Koilonychia
Necrotizing cutaneous vasculitis,Urticarial vasculitis (disorder)
Serum sickness type vasculitis,Immune complex urticaria
Acute edema - cutaneous distension syndrome,Acute edema
Acute edema blisters,Acute edema
Lymphedema of lip,Edema of oral soft tissues
Penile venereal edema,Edema of penis
Generalized pruritus of unknown etiology,Pruritus of skin
Generalized pruritus of unknown etiology,Itching of skin
Generalized pruritus of unknown etiology,Itch of skin
Urine induced contact dermatitis,Erythema of skin
Urine induced contact dermatitis,Erythematous condition
Diarrhea due to staphylococcus,Diarrhea symptom
Diarrhea due to staphylococcus,Loose stool
Nocturnal sleep-related eating disorder,Sleep automatism
Eczema craquelé due to acute edema,Acute edema
Simple partial seizure with focal motor signs with march,Seizure
Postpartum fever,Pattern of fever - finding
Constipation due to neurogenic bowel,Constipation (disorder)
Paroxysmal hemicrania,Headache (finding)
Stress-induced epilepsy,Seizure
"Equilibration disorder, vestibular nerve",Problem with balance
"Equilibration disorder, vestibular nerve",Impairment of balance
"Complex regional pain syndrome, type II, lower limb",Pain (finding)
"Complex regional pain syndrome, type II, upper limb",Pain (finding)
Breast engorgement in newborn,Engorgement of breasts
Claudication,Pain in lower limb (finding)
Corneal iron deposits,Stahli's line
Gait apraxia,[X]Other and unspecified symbolic dysfunctions
Gait apraxia,[D]Other symbolic dysfunction
Nerve root disorder,Painful legs and moving toes
Nerve root disorder,Segmental peripheral neuralgia
Nerve root disorder,Painful arms and moving fingers
Algodystrophy (disorder),Pain (finding)
Perinatal jaundice NOS,Newborn physiological jaundice (disorder)
Primary acquired melanosis of conjunctiva without atypia,Mass of eye structure
Primary acquired melanosis of conjunctiva without atypia,Swelling of structure of eye
Disorder of skeletal muscle,Blepharospasm (disorder)
Disorder of skeletal muscle,Increased muscle tone
Disorder of skeletal muscle,Muscular hypertonicity
Disorder of skeletal muscle,Polymyalgia
(Plasma protein metabolism disorder: & [hyperproteinaemia] or [hypoproteinaemia]) or (Waldenstrom's macroglobulinaemia),Hypoproteinemia (disorder)
(Plasma protein metabolism disorder: & [hyperproteinemia] or [hypoproteinemia]) or (Waldenstrom's macroglobulinemia),Hypoproteinemia (disorder)
Dysmenorrhoea (& [non psychogenic] or [congestive] or [spasmodic]),Spasmodic dysmenorrhea
Dysmenorrhea (& [non psychogenic] or [congestive] or [spasmodic]),Spasmodic dysmenorrhea
([D]Hypersomnia with sleep apnea) or (sleep apnea syndrome),Hypersomnia with sleep apnea
([D]Hypersomnia with sleep apnoea) or (sleep apnoea syndrome),Hypersomnia with sleep apnea
(Neuralgia/neuritis - NOS) or (nerve root pain NEC),Neuropathic pain
(Disturbance of consciousness) or (faint/syncope/vasovagal symptom),Syncope symptom
(Disturbance of consciousness) or (faint/syncope/vasovagal symptom),Syncope and collapse
(Disturbance of consciousness) or (faint/syncope/vasovagal symptom),Disturbance of consciousness
(Disturbance of consciousness) or (faint/syncope/vasovagal symptom),Vasovagal symptom
(Acute mucopurulent conjunctivitis) or (sticky eye),Discharge of eye
(Chronic pharyngitis/nasopharyngitis) or (catarrh) or (congested nose),Nasal congestion
(Chronic pharyngitis/nasopharyngitis) or (catarrh) or (congested nose),Catarrhal nasal discharge
(Simple chronic bronchitis) or (smoker's cough) or (senile tracheobronchitis),Smokers' cough
(Tendinitis: [ankle/tarsus] or [achilles] or [ankle]) or (calcaneal spur) or (metatarsalgia),Metatarsalgia (finding)
Temporomandibular joint: [ankylosis] or [stiff],Temporomandibular joint stiff
Morning sickness (& [mild hyperemesis gravidarum]),Morning sickness
(Tongue disease NOS) or (coated tongue) or (geographic tongue) or (glossodynia),Glossodynia (disorder)
(Tongue disease NOS) or (coated tongue) or (geographic tongue) or (glossodynia),Glossopyrosis (disorder)
(Coccygeal disorder NOS) or (coccydynia),Pain in the coccyx
Central pain syndrome,Pain (finding)
Central pain syndrome,Pseudothalamic pain
(Urticaria NOS) or (hives) or (pachydermia),Weal
Genital varices in pregnancy (& [vaginal] or [vulval]),Vulval varices in pregnancy
(Intolerance NEC: [fat] or [food] or [milk]) or (malabsorption NOS: [syndrome] or [other gastrointestinal tract]),Food intolerance
(Retinal vascular occlusion) or (amaurosis fugax) or (retinal thrombosis),Amaurosis fugax
(Warts: [genital] or [penile] or [venereal]) or (condylomata acuminatum),Penile warts
Sleep disorders (& [insomnia] or [nightmares] or [sleepwalking (& somnambulism)]),Insomnia (disorder)
Dysmenorrhea (& spasmodic),Spasmodic dysmenorrhea
Dysmenorrhoea (& spasmodic),Spasmodic dysmenorrhea
Myoclonus: [other] or [paramyoclonus multiplex],Myoclonic disorder
Physiological jaundice (& [NOS]),Newborn physiological jaundice (disorder)
(Transient ischaemic attacks) or (vertebro-basilar insufficiency) or (drop attacks),Drop attack
(Transient ischemic attacks) or (vertebro-basilar insufficiency) or (drop attacks),Drop attack
Idiopathic hypersomnia without long sleep time,Hypersomnia (disorder)
High altitude periodic breathing,Respiration intermittent
Organic sleep disorder,Disturbance in sleep behavior
(Skin and subcutaneous tissue disease NOS) or (sore skin),Sore skin (finding)
Mouth: [mucocele] or [discomfort] or [soft tissue diseases NOS],Discomfort in mouth
Trigeminal autonomic cephalalgia,Headache (finding)
(Virilism) or (adrenogenital virilization) or (pseudohermaphrodite female with adrenocortical disorder),Virilization (finding)
(Virilism) or (adrenogenital virilisation) or (pseudohermaphrodite female with adrenocortical disorder),Virilization (finding)
(Sialectasia) or (stenosis of salivary duct) or (other salivary gland diseases),Sialectasia
(Extrapyramidal disease NOS) or (blepharospasm) or (choreo-athetosis) or (writer's cramp - organic) or (myoclonic jerks) or (spasmodic torticollis),Blepharospasm (disorder)
(Extrapyramidal disease NOS) or (blepharospasm) or (choreo-athetosis) or (writer's cramp - organic) or (myoclonic jerks) or (spasmodic torticollis),Myoclonic disorder
(Extrapyramidal disease NOS) or (blepharospasm) or (choreo-athetosis) or (writer's cramp - organic) or (myoclonic jerks) or (spasmodic torticollis),Spasmodic torticollis (disorder)
(Lid lag) or (xanthelasma) or (eyelid disorders NOS),Lid lag
(Spinocerebellar disease) or (cerebellar ataxia) or (cerebellar disease),Cerebellar ataxia
Nasal: [obstruction] or [congestion (& sinus)] or [infection] or [sore nostril] or [cavity and sinus disease NOS],Congestion of nasal sinus
(Erythematous conditions NOS) or (granulome annulare),Erythema of skin
(Other erythematous conditions NOS) or (granuloma annulare),Erythema of skin
(Erythematous conditions NOS) or (granulome annulare),Erythematous condition
(Other erythematous conditions NOS) or (granuloma annulare),Erythematous condition
(Acute conjunctivitis) or (Newcastle's disease) or (viral pharyngoconjunctivitis) or (pink eye) or (sticky eye),Red eye
(Acute conjunctivitis) or (Newcastle's disease) or (viral pharyngoconjunctivitis) or (pink eye) or (sticky eye),Discharge of eye
(Skin disorders NOS) or (foreign body granuloma) or (pimple) or (wheal),Weal
(Chronic intestinal vascular insufficiency) or (abdominal angina) or (chronic ischaemic colitis &/or enteritis),Abdominal angina
(Chronic intestinal vascular insufficiency) or (abdominal angina) or (chronic ischemic colitis &/or enteritis),Abdominal angina
(Chronic intestinal vascular insufficiency) or (abdominal angina) or (chronic ischaemic colitis &/or enteritis),Intestinal angina
(Chronic intestinal vascular insufficiency) or (abdominal angina) or (chronic ischemic colitis &/or enteritis),Intestinal angina
(Other specified urticaria) or (nettle rash),Weal
(Drop attack) or (transient cerebral ischaemia) or (vertebro-basilar insufficiency),Drop attack
(Drop attack) or (transient cerebral ischemia) or (vertebro-basilar insufficiency),Drop attack
"(Neuralgia, neuritis or radiculitis NOS) or (policeman's disease)",Neuropathic pain
Cheiro-oral syndrome,Skin sensation disturbance
Temporal crescent syndrome,Other specified visual disturbance NOS
Temporal crescent syndrome,Other specified visual disturbance
Propensity to adverse reactions to food,Food intolerance
Corneal argyriasis,Corneal pigmentations and deposits
T-cell pseudolymphomatous lesion,Persistent light reaction
Respiratory tract congestion and cough,C/O - cough
Cerebellar ataxia associated with another disorder,Cerebellar ataxia
Drug-induced corneal epithlelial deposit,Corneal pigmentations and deposits
Dysphotopsia,Visual alteration
Disorder of teeth AND/OR supporting structures,Toothache (finding)
Disorder of teeth AND/OR supporting structures,Painful tooth socket
Disorder of skin pigmentation,Drug pigmentation
Disorder of skin pigmentation,Achromia of skin (disorder)
Disorder of skin pigmentation,Malarial pigment deposition
Episodic ataxia type 1 (disorder),Coordination problem
Hypersensitivity disorder,Injection site hypersensitivity
Subjective visual disturbance of image size,Subjective visual disturbance
Subjective visual disturbance of image size,Visual distortions of shape AND/OR size
Subjective visual disturbance of image size,Micropsia (disorder)
Micropsia due to organic disease,Visual distortions of shape AND/OR size
Micropsia due to organic disease,Micropsia (disorder)
Neuralgia associated with AIDS,Neuropathic pain
Neuralgia associated with AIDS,Pain (finding)
Episodic ataxia,Cerebellar ataxia
Episodic ataxia,Coordination problem
Episodic ataxia type 2,Coordination problem
Melanin pigmentation of eye,Melanin pigmentation of cornea
Migraine with typical aura,Headache (finding)
Refractory migraine with aura,Headache (finding)
"Migraine without aura, not refractory",Headache (finding)
Reflex blepharospasm,Blepharospasm (disorder)
Refractory occipital lobe epilepsy,Seizure
"Epilepsy, not refractory",Seizure
Refractory infantile spasms,Seizure
Refractory infantile spasms,Spasm (finding)
Refractory migraine without aura,Headache (finding)
Refractory migraine,Headache (finding)
Refractory frontal lobe epilepsy,Seizure
Refractory localization-related epilepsy,Seizure
"Migraine variants, not intractable",Headache (finding)
Refractory parietal lobe epilepsy,Seizure
Refractory migraine variants,Headache (finding)
Refractory epilepsia partialis continua,Seizure
Myoclonic dystonia (disorder),Myoclonic disorder
Numb chin syndrome,Skin sensation disturbance
Irritable bowel syndrome characterized by constipation,Constipation (disorder)
Tendinitis of flexor hallucis longus,Cramp in foot
Hypersomnia disorder related to menstruation,Hypersomnia (disorder)
Chronic hypercapnic respiratory failure,Hypercapnia (disorder)
Maxillary cyst,Mass of musculoskeletal structure
Headache due to high altitude,Headache (finding)
Brainerd diarrhea,Diarrhea symptom
Brainerd diarrhea,Loose stool
Urethral wart,Mass of urinary system structure
Non-epileptic myoclonus,Myoclonic disorder
Intractable ophthalmic migraine,Headache (finding)
Vertigo as late effect of stroke,Subjective vertigo
Transformed migraine,Headache (finding)
Stapedial myoclonus,Myoclonic disorder
Loss of appetite,Anorexia symptom (finding)
Loss of appetite,Appetite loss - anorexia
Vomiting in pregnancy (& [excess] or [hyperemesis gravidarum] or [morning sickness]),Hyperemesis gravidarum
Vomiting in pregnancy (& [excess] or [hyperemesis gravidarum] or [morning sickness]),Morning sickness
Diarrhea due to drug,Diarrhea symptom
Diarrhea due to drug,Loose stool
Pudendal neuralgia,Pain (finding)
Arthropathy of knee joint (disorder),Pain due to knee joint prosthesis
Chronic hypercapnia,Hypercapnia (disorder)
Complex cyst of uterine adnexa,Mass of uterine adnexa
Myoclonus of tensor tympani muscle,Myoclonic disorder
(Soft tissue disorders NOS) or (polyalgia),Polyalgia
Other specified dental disorder &/or toothache,Toothache (finding)
Vascular insufficiency of intestine (disorder),Abdominal angina
Vascular insufficiency of intestine (disorder),Intestinal angina
Vaginospasm (finding),Spasm (finding)
"Jacksonian, focal or motor epilepsy",Seizure
Cyst of finger,Lump on finger
(Acute nasopharyngitis) or (common cold) or (acute coryza) or (acute rhinitis) or (sniffles) or (snuffles),Snuffles
(Acute nasopharyngitis) or (common cold) or (acute coryza) or (acute rhinitis) or (sniffles) or (snuffles),Nasal discharge
(Acute nasopharyngitis) or (common cold) or (acute coryza) or (acute rhinitis) or (sniffles) or (snuffles),Nasal discharge present
Hysterical micropsia,Visual distortions of shape AND/OR size
Hysterical micropsia,Micropsia (disorder)
Neonatal hypotonia,Decreased muscle tone
Neonatal hypotonia,Poor muscle tone
Neonatal hypotonia,Benign congenital hypotonia (disorder)
Constipation due to spasm of colon,Constipation (disorder)
Acute renal failure with oliguria,Oliguria (finding)
Disorder of glenohumeral joint,Pain due to shoulder joint prosthesis
Chronic headache disorder,Headache (finding)
Atonic constipation,Constipation (disorder)
Organic amnesia of language,Loss of memory
Organic amnesia of language,Memory loss symptom
Hemicrania continua,Headache (finding)
Benign Rolandic epilepsy,Seizure
Other specific myoneural disorder (& [amyotonia congenita] or [Oppenheim's amyotonia] or [congenital benign hypotonia] or [floppy infant syndrome]),Benign congenital hypotonia (disorder)
Myxedematous form of cretinism,Hard edema
Inflammation of skin due to parasite (disorder),Trypanosomal chancre
Tension hydrothorax,Fluid disturbance
Epilepsy characterized by intractable complex partial seizures,Seizure
Refractory generalized nonconvulsive epilepsy,Seizure
Myoclonus associated with fever,Myoclonic disorder
Disorder of cornea associated with contact lens,Contact lens related disorder
Remitting seronegative symmetrical synovitis with pitting edema,Pitting edema
Bleeding Meckel's diverticulum,Umbilical hemorrhage
Bleeding Meckel's diverticulum,Umbilical bleeding
Accumulation of bile in abdominal cavity,Intra-abdominal collection
Cholesterin granuloma of middle ear and mastoid,Mass of ear structure
Cholesterin granuloma of middle ear and mastoid,Mass of musculoskeletal structure
Uremia due to inadequate renal perfusion,[D]Extrarenal uraemia
Uremia due to inadequate renal perfusion,[D]Extrarenal uremia
Cyst of nasal sinus (disorder),Mass of respiratory structure
Hypertensive lower esophageal sphincter (disorder),Hypertensive spasm of cardiac sphincter
Epidermoid cyst of skin of thigh,Lump on thigh
Epidermoid cyst of skin of ear,Mass of ear structure
Verruca vulgaris of skin of lower extremity,Mass of lower limb
Foreign body granuloma of penis,Perineal lump (finding)
Foreign body granuloma of penis,Mass of male genital structure
Epidermoid cyst of skin of back,Mass of trunk
Epidermoid cyst of skin of groin,Groin mass
Epidermoid cyst of skin of cheek,Mass of digestive structure
Verruca vulgaris of skin of pinna,Mass of ear structure
Verruca vulgaris of skin of cheek,Mass of digestive structure
Cyst of pinna,Mass of ear structure
Cholesterin granuloma of mastoid,Mass of musculoskeletal structure
Prurigo mitis,Pruritus of skin
Prurigo mitis,Itching of skin
Prurigo mitis,Itch of skin
Hebra's prurigo,Pruritus of skin
Hebra's prurigo,Itching of skin
Hebra's prurigo,Itch of skin
Chronic progressive epilepsia partialis continua of childhood,Seizure
Mass associated with atrioventricular valve leaflet in atrioventricular septal defect,Mass of cardiovascular structure
Congenital mass of mitral leaflet,Mass of cardiovascular structure
Hydroa estivale,Erythema of skin
Hydroa estivale,Erythematous condition
Infection - suppurative,Purulent nasal discharge
Infection - suppurative,Purulent rhinitis
Primary acquired melanosis (disorder),Mass of eye structure
Primary acquired melanosis (disorder),Swelling of structure of eye
Hematoma of perianal region,Perianal lump
Functional abdominal pain syndrome,Abdominal pain
Functional abdominal pain syndrome,Pain (finding)
